,Unnamed: 0,Title,Authors,Page numbers,DOI,Year of publication,Classification indicated
238,238,Blood Flow Simulation for the Liver after a Virtual Right Lobe Hepatectomy,"Harvey Ho, Keagan Sorrell, Adam Bartlett, Peter Hunter",525-532,/chapter/10.1007/978-3-642-33454-2_65,2012.0,0
239,239,A Combinatorial Method for 3D Landmark-Based Morphometry: Application to the Study of Coronal Craniosynostosis,"Emeric Gioan, Kevin Sol, Gérard Subsol",533-541,/chapter/10.1007/978-3-642-33454-2_66,2012.0,0
240,240,A Comprehensive Framework for the Detection of Individual Brain Perfusion Abnormalities Using Arterial Spin Labeling,"Camille Maumet, Pierre Maurel, Jean-Christophe Ferré, Christian Barillot",542-549,/chapter/10.1007/978-3-642-33454-2_67,2012.0,1
241,241,Automated Colorectal Cancer Diagnosis for Whole-Slice Histopathology,"Habil Kalkan, Marius Nap, Robert P. W. Duin, Marco Loog",550-557,/chapter/10.1007/978-3-642-33454-2_68,2012.0,0
242,242,Patient-Adaptive Lesion Metabolism Analysis by Dynamic PET Images,"Fei Gao, Huafeng Liu, Pengcheng Shi",558-565,/chapter/10.1007/978-3-642-33454-2_69,2012.0,0
243,243,A Personalized Biomechanical Model for Respiratory Motion Prediction,"B. Fuerst, T. Mansi, Jianwen Zhang, P. Khurd, J. Declerck, T. Boettger et al.",566-573,/chapter/10.1007/978-3-642-33454-2_70,2012.0,1
244,244,Endoscope Distortion Correction Does Not (Easily) Improve Mucosa-Based Classification of Celiac Disease,"Jutta Hämmerle-Uhl, Yvonne Höller, Andreas Uhl, Andreas Vécsei",574-581,/chapter/10.1007/978-3-642-33454-2_71,2012.0,1
245,245,Gaussian Process Inference for Estimating Pharmacokinetic Parameters of Dynamic Contrast-Enhanced MR Images,"Shijun Wang, Peter Liu, Baris Turkbey, Peter Choyke, Peter Pinto, Ronald M. Summers",582-589,/chapter/10.1007/978-3-642-33454-2_72,2012.0,0
246,246,Automatic Localization and Identification of Vertebrae in Arbitrary Field-of-View CT Scans,"Ben Glocker, J. Feulner, Antonio Criminisi, D. R. Haynor, E. Konukoglu",590-598,/chapter/10.1007/978-3-642-33454-2_73,2012.0,0
247,247,Pathology Hinting as the Combination of Automatic Segmentation with a Statistical Shape Model,"Pascal A. Dufour, Hannan Abdillahi, Lala Ceklic, Ute Wolf-Schnurrbusch, Jens Kowal",599-606,/chapter/10.1007/978-3-642-33454-2_74,2012.0,0
248,248,An Invariant Shape Representation Using the Anisotropic Helmholtz Equation,"A. A. Joshi, S. Ashrafulla, D. W. Shattuck, H. Damasio, R. M. Leahy",607-614,/chapter/10.1007/978-3-642-33454-2_75,2012.0,0
249,249,Phase Contrast Image Restoration via Dictionary Representation of Diffraction Patterns,"Hang Su, Zhaozheng Yin, Takeo Kanade, Seungil Huh",615-622,/chapter/10.1007/978-3-642-33454-2_76,2012.0,0
250,250,Context-Constrained Multiple Instance Learning for Histopathology Image Segmentation,"Yan Xu, Jianwen Zhang, Eric I-Chao Chang, Maode Lai, Zhuowen Tu",623-630,/chapter/10.1007/978-3-642-33454-2_77,2012.0,0
251,251,Structural-Flow Trajectories for Unravelling 3D Tubular Bundles,"Katerina Fragkiadaki, Weiyu Zhang, Jianbo Shi, Elena Bernardis",631-638,/chapter/10.1007/978-3-642-33454-2_78,2012.0,0
252,252,Online Blind Calibration of Non-uniform Photodetectors: Application to Endomicroscopy,"Nicolas Savoire, Barbara André, Tom Vercauteren",639-646,/chapter/10.1007/978-3-642-33454-2_79,2012.0,0
